Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z
459,3.817,-479.33865,394.25256,815.2226
460,3.825,-483.92865,393.51978,814.9986
461,3.833,-489.64624,392.44077,814.71014
462,3.842,-493.96097,392.12231,813.53943
463,3.85,-499.45041,390.64014,813.07654
464,3.858,-503.55804,388.68576,812.39575
465,3.867,-508.82639,387.92148,812.66772
466,3.875,-511.74509,387.07434,811.95123
467,3.883,-517.88715,385.59656,812.56903
468,3.892,-522.27161,384.06509,812.85541
469,3.9,-525.16071,382.88385,812.69482
470,3.908,-530.38727,382.02438,813.12689
471,3.917,-534.33557,380.2998,813.72723
472,3.925,-539.62885,379.53119,814.05487
473,3.933,-543.32526,378.0181,814.8913
474,3.942,-548.85962,377.28278,815.59375
475,3.95,-550.69635,376.18823,816.17902
476,3.958,-555.44678,375.10818,817.15094
477,3.967,-559.58325,373.57352,818.3067
478,3.975,-562.91028,372.8389,819.25598
479,3.983,-567.8869,371.91916,820.98193
480,3.992,-569.8009,370.78574,821.7934
481,4,-574.22626,370.20883,821.91589
482,4.008,-577.44739,369.24838,822.76361
483,4.017,-581.00433,369.06693,824.71326
484,4.025,-584.68658,368.1329,826.11066
485,4.033,-587.4873,367.75278,826.45319
486,4.042,-589.685,367.07663,826.60919
487,4.05,-593.90411,366.45129,826.90332
488,4.058,-596.29517,365.39227,827.15295
489,4.067,-598.94086,365.05731,827.37598
490,4.075,-602.34302,364.71774,827.55658
491,4.083,-604.58807,364.41565,828.65295
492,4.092,-609.04211,363.75507,828.77985
493,4.1,-610.74261,363.67233,829.28546
494,4.108,-613.98834,362.65604,829.45245
495,4.117,-617.18457,362.82446,830.08057
496,4.125,-619.30029,362.23566,829.73566
497,4.133,-623.54681,361.05652,830.44507
498,4.142,-625.06183,361.52588,831.26843
499,4.15,-628.47906,361.60599,830.75903
500,4.158,-629.92694,361.23401,831.64124
501,4.167,-633.02246,360.49094,831.87054
502,4.175,-635.60754,359.83664,831.99786
503,4.183,-638.90491,359.27084,832.60083
504,4.192,-641.73517,358.64835,832.04669
505,4.2,-643.20245,358.5679,832.22675
506,4.208,-647.06458,359.06494,832.16052
507,4.217,-649.46686,358.23239,831.82318
508,4.225,-652.70294,358.73752,832.48553
509,4.233,-654.74414,358.57617,832.37152
510,4.242,-658.54443,358.66284,832.35541
511,4.25,-661.72644,358.94919,831.79578
512,4.258,-664.52808,359.12866,831.54822
513,4.267,-667.07599,358.63736,830.72461
514,4.275,-670.28705,359.33667,831.0274
515,4.283,-672.56293,359.72229,830.46338
516,4.292,-675.93768,360.09314,828.84595
517,4.3,-678.62097,361.32349,829.00385
518,4.308,-683.02704,361.41275,828.63348
519,4.317,-685.48492,361.60233,828.20435
520,4.325,-689.492,361.57593,827.70215
521,4.333,-693.21991,363.27118,826.91663
522,4.342,-696.13666,363.01157,825.2757
523,4.35,-699.97913,363.97955,824.67688
