Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z
489,4.067,1237.20386,-301.78873,832.03369
490,4.075,1238.44934,-300.1279,833.73553
491,4.083,1242.85852,-300.4563,833.90289
492,4.092,1243.6676,-300.46857,833.52338
493,4.1,1245.4325,-297.65552,833.20551
494,4.108,1248.49854,-299.7431,834.04663
495,4.117,1252.35693,-298.72037,833.37488
496,4.125,1254.79443,-298.63141,833.29773
497,4.133,1256.72095,-297.33054,832.995
498,4.142,1257.75781,-296.82965,832.77423
499,4.15,1262.07959,-296.534,832.94232
500,4.158,1264.69714,-297.23364,833.11542
501,4.167,1267.06482,-295.49606,833.04266
502,4.175,1268.39502,-294.87424,832.6322
503,4.183,1272.48499,-294.88736,833.04761
504,4.192,1274.93469,-294.099,832.54028
505,4.2,1277.36499,-293.10471,832.81219
506,4.208,1278.81787,-292.49646,832.22736
507,4.217,1284.09265,-293.67114,832.64465
508,4.225,1286.05762,-293.17691,832.92212
509,4.233,1290.18237,-293.73355,832.72754
510,4.242,1293.12598,-293.43735,832.61145
511,4.25,1296.01208,-293.51767,831.42737
512,4.258,1299.09302,-292.60202,831.10992
513,4.267,1303.12512,-293.95831,831.28583
514,4.275,1305.78369,-293.12817,831.8172
515,4.283,1310.14709,-294.96429,831.21033
516,4.292,1312.96313,-293.51749,830.68921
517,4.3,1317.44983,-294.68396,830.71332
518,4.308,1320.44739,-295.00558,830.38947
519,4.317,1325.55029,-296.17926,829.77655
520,4.325,1328.51123,-296.53622,829.3479
521,4.333,1332.52734,-297.58047,828.08563
522,4.342,1336.47656,-296.30286,826.97247
523,4.35,1341.0741,-297.577,826.8844
524,4.358,1344.66772,-297.36285,825.83112
525,4.367,1350.71399,-299.21283,824.62152
526,4.375,1354.58569,-299.44339,823.82306
527,4.383,1358.70825,-299.92151,823.3515
528,4.392,1363.66931,-301.30527,822.78857
529,4.4,1369.38452,-301.88245,821.9845
530,4.408,1375.26563,-302.99393,821.96204
531,4.417,1377.46033,-301.71619,814.58875
532,4.425,1382.83179,-303.06934,815.10101
533,4.433,1387.82898,-302.25244,813.30914
534,4.442,1393.19055,-303.4227,812.42804
535,4.45,1400.57996,-305.40143,812.73407
536,4.458,1406.00952,-306.2049,811.54895
