Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
262,2.175,1238.80542,-376.15121,1695.01294,1368.12109,-331.9223,1630.87927
263,2.183,1246.42029,-376.83093,1695.86938,1375.81665,-329.07587,1630.96765
264,2.192,1253.3335,-375.01407,1696.15234,1384.51611,-328.67252,1630.80371
265,2.2,1261.57581,-373.36032,1697.23499,1391.87708,-328.55557,1632.33655
266,2.208,1267.91455,-372.71442,1696.63098,1400.35193,-327.9827,1633.92798
267,2.217,1276.65002,-371.84015,1698.50671,1406.01013,-326.00681,1633.86377
268,2.225,1284.89246,-371.07141,1699.44434,1413.88306,-325.52609,1634.66467
269,2.233,1291.12744,-369.75015,1700.00647,1422.52649,-325.2009,1634.6001
270,2.242,1299.177,-368.74167,1700.63843,1430.11035,-325.22922,1635.02258
271,2.25,1306.7699,-368.97067,1701.63855,1437.01074,-323.79218,1636.63684
272,2.258,1314.33325,-369.43555,1701.94336,1444.62903,-322.57925,1638.25464
273,2.267,1321.61841,-367.4425,1703.95935,1452.38025,-322.78146,1638.64563
274,2.275,1328.17554,-367.02322,1704.39429,1460.04028,-322.58331,1639.46362
275,2.283,1337.3938,-365.90057,1705.84143,1468.06396,-323.25958,1639.84851
276,2.292,1343.98462,-366.28366,1706.52686,1474.79907,-322.27957,1640.80994
277,2.3,1350.57715,-364.01804,1707.99304,1480.99536,-321.54337,1642.78577
278,2.308,1358.72424,-363.74609,1709.41492,1488.578,-321.21085,1643.74951
279,2.317,1365.78198,-364.78891,1710.62109,1496.45276,-320.49829,1643.71313
280,2.325,1373.68396,-364.14355,1711.78186,1504.39673,-321.0592,1644.67737
281,2.333,1380.08289,-363.44672,1712.8075,1511.07617,-320.83447,1644.74829
282,2.342,1387.84009,-362.99442,1714.14392,1517.82568,-320.05585,1645.97815
283,2.35,1395.2937,-363.77911,1714.88953,1525.32849,-319.10269,1647.46448
284,2.358,1403.01392,-363.69388,1715.99036,1531.57397,-318.76785,1647.72559
285,2.367,1408.2301,-362.74033,1716.10791,1539.71741,-319.75433,1649.3656
286,2.375,1416.45715,-362.84702,1716.64734,1545.89111,-320.14948,1649.45801
287,2.383,1423.74585,-363.28998,1716.40588,1554.43127,-320.7132,1649.60889
288,2.392,1430.80676,-363.01321,1717.92249,1561.79565,-320.46301,1650.13477
289,2.4,1436.22632,-362.73755,1717.54028,1567.36951,-319.30334,1650.36841
290,2.408,1445.68567,-361.72433,1717.6825,1573.73889,-319.10614,1650.625
291,2.417,1452.04834,-362.5892,1718.81702,1581.32568,-318.31894,1650.96802
292,2.425,1458.65112,-362.33755,1718.72754,1588.4104,-317.85208,1651.8446
293,2.433,1465.45398,-361.47131,1718.43433,1595.18225,-319.13016,1650.72571
294,2.442,1472.74756,-360.8725,1718.62024,1601.57751,-318.32397,1649.94238
295,2.45,1480.49634,-361.00912,1718.87158,1610.84045,-319.30627,1649.80737
296,2.458,1486.60718,-360.03384,1718.66772,1616.1709,-317.7532,1649.37292
297,2.467,1494.44617,-360.05933,1717.7323,1623.28491,-318.77499,1649.03613
298,2.475,1501.14294,-360.26028,1717.14783,1631.94873,-318.54541,1648.81042
299,2.483,1508.93384,-360.80298,1716.73901,1637.98792,-318.60736,1648.52356
300,2.492,1515.42627,-358.86758,1716.55835,1644.82935,-318.00653,1647.38928
301,2.5,1523.93469,-360.34592,1714.54553,1652.79358,-317.03806,1647.14221
302,2.508,1530.56445,-361.2059,1715.23022,1659.62976,-317.78107,1645.65186
303,2.517,1538.07825,-360.08148,1713.88647,1666.94299,-318.54178,1644.85999
304,2.525,1543.6123,-360.74203,1712.53833,1674.50452,-318.27585,1644.49658
305,2.533,1553.0127,-359.8685,1713.08044,1681.63098,-319.33124,1643.29358
306,2.542,1559.75073,-361.65326,1710.65283,1689.37244,-318.71066,1642.0824
307,2.55,1568.30444,-361.27209,1709.7417,1695.22949,-317.82327,1641.40356
308,2.558,1572.86584,-361.25125,1708.06836,1702.24658,-317.72409,1639.34045
309,2.567,1580.84778,-361.26974,1708.45374,1711.00269,-319.01349,1638.30774
310,2.575,1590.49719,-362.16339,1706.56445,1718.46179,-320.20377,1637.26782
311,2.583,1598.68433,-362.82886,1706.54248,1726.57458,-320.60907,1636.29358
312,2.592,1606.29126,-363.03769,1704.97449,1732.01318,-319.82025,1635.10083
313,2.6,1612.50586,-363.88702,1704.4834,1739.05933,-319.42389,1633.22754
314,2.608,1620.50195,-362.84137,1702.55835,1748.65149,-321.1701,1632.22522
315,2.617,1626.35779,-364.80893,1701.07141,1754.79395,-322.44424,1630.42554
316,2.625,1633.9917,-365.85712,1699.85083,1761.99744,-322.47318,1629.91138
317,2.633,1642.83411,-366.09134,1698.64355,1768.62561,-322.16513,1628.08582
318,2.642,1649.43298,-367.78516,1696.79932,1776.42017,-324.19043,1626.69861
319,2.65,1656.61121,-368.19104,1696.55469,1784.29541,-325.30768,1625.69031
320,2.658,1663.86536,-369.88782,1695.04578,1792.67188,-326.5658,1624.20447
321,2.667,1671.81409,-371.44495,1695.08691,1799.69727,-327.64938,1623.46973
322,2.675,1680.1853,-371.86285,1692.34399,1807.67151,-328.02585,1622.34363
323,2.683,1687.38562,-373.80542,1691.82153,1813.92053,-328.57059,1621.5199
324,2.692,1695.40662,-374.46057,1692.16357,1822.56165,-330.827,1620.1012
325,2.7,1704.58862,-376.01752,1689.94336,1830.14063,-331.08603,1619.22339
326,2.708,1711.68579,-377.75333,1689.08545,1839.24255,-334.43698,1619.12122
327,2.717,1719.62231,-378.90875,1688.86792,1847.30469,-335.05026,1618.13306
328,2.725,1727.35461,-381.63751,1688.33057,1854.40308,-335.43948,1618.82898
329,2.733,1734.66431,-384.15408,1688.61646,1862.0675,-336.76437,1618.27502
330,2.742,1743.49939,-384.92584,1688.31055,1869.76416,-336.75156,1618.4187
331,2.75,1751.53833,-385.50766,1688.18579,1880.54346,-342.08493,1619.25171
332,2.758,1760.2074,-388.89008,1688.08545,1888.29468,-342.18719,1619.15295
